,country,description,designation,points,price,province,region_1,region_2,variety,winery
0,US,"This tremendous 100% varietal wine hails from Oakville and was aged over three years in oak. Juicy red-cherry fruit and a compelling hint of caramel greet the palate, framed by elegant, fine tannins and a subtle minty tone in the background. Balanced and rewarding from start to finish, it has years ahead of it to develop further nuance. Enjoy 2022–2030.",Martha's Vineyard,96,235,California,Napa Valley,Napa,Cabernet Sauvignon,Heitz
1,Spain,"Ripe aromas of fig, blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla. This is full, layered, intense and cushioned on the palate, with rich flavors of chocolaty black fruits and baking spices. A toasty, everlasting finish is heady but ideally balanced. Drink through 2023.",Carodorum Selección Especial Reserva,96,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
2,US,"Mac Watson honors the memory of a wine once made by his mother in this tremendously delicious, balanced and complex botrytised white. Dark gold in color, it layers toasted hazelnut, pear compote and orange peel flavors, reveling in the succulence of its 122 g/L of residual sugar.",Special Selected Late Harvest,96,90,California,Knights Valley,Sonoma,Sauvignon Blanc,Macauley
3,US,"This spent 20 months in 30% new French oak, and incorporates fruit from Ponzi's Aurora, Abetina and Madrona vineyards, among others. Aromatic, dense and toasty, it deftly blends aromas and flavors of toast, cigar box, blackberry, black cherry, coffee and graphite. Tannins are polished to a fine sheen, and frame a finish loaded with dark chocolate and espresso. Drink now through 2032.",Reserve,96,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
4,France,"This is the top wine from La Bégude, named after the highest point in the vineyard at 1200 feet. It has structure, density and considerable acidity that is still calming down. With 18 months in wood, the wine has developing an extra richness and concentration. Produced by the Tari family, formerly of Château Giscours in Margaux, it is a wine made for aging. Drink from 2020.",La Brûlade,95,66,Provence,Bandol,,Provence red blend,Domaine de la Bégude
5,Spain,"Deep, dense and pure from the opening bell, this Toro is a winner. Aromas of dark ripe black fruits are cool and moderately oaked. This feels massive on the palate but sensationally balanced. Flavors of blackberry, coffee, mocha and toasty oak finish spicy, smooth and heady. Drink this exemplary Toro through 2023.",Numanthia,95,73,Northern Spain,Toro,,Tinta de Toro,Numanthia
6,Spain,"Slightly gritty black-fruit aromas include a sweet note of pastry along with a hint of prune. Wall-to-wall saturation ensures that all corners of one's mouth are covered. Flavors of blackberry, mocha and chocolate are highly impressive and expressive, while this settles nicely on a long finish. Drink now through 2024.",San Román,95,65,Northern Spain,Toro,,Tinta de Toro,Maurodos
7,Spain,"Lush cedary black-fruit aromas are luxe and offer notes of marzipan and vanilla. This bruiser is massive and tannic on the palate, but still lush and friendly. Chocolate is a key flavor, while baked berry and cassis flavors are hardly wallflowers. On the finish, this is tannic and deep as a sea trench. Drink this saturated black-colored Toro through 2023.",Carodorum Único Crianza,95,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
8,US,"This re-named vineyard was formerly bottled as deLancellotti. You'll find striking minerality underscoring chunky black fruits. Accents of citrus and graphite comingle, with exceptional midpalate concentration. This is a wine to cellar, though it is already quite enjoyable. Drink now through 2030.",Silice,95,65,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Bergström
9,US,"The producer sources from two blocks of the vineyard for this wine—one at a high elevation, which contributes bright acidity. Crunchy cranberry, pomegranate and orange peel flavors surround silky, succulent layers of texture that present as fleshy fruit. That delicately lush flavor has considerable length.",Gap's Crown Vineyard,95,60,California,Sonoma Coast,Sonoma,Pinot Noir,Blue Farm
10,Chile,"Wan in color, with vanilla and pear aromas that aren't too fresh, this is a syrupy, sweet, flabby Chardonnay. Soft flavors of pear and pineapple are overdone.",Reserva,80,12,Casablanca Valley,,,Chardonnay,Santa Carolina
11,Chile,"This mature PN from a hot vintage isn't showing much life. Earthy, raisiny aromas aren't fresh, while wood tannin and acid are keeping it afloat. Flavors of brown sugar and decayed berry fruits finish stale. This is on its very last legs.",20 Barrels Limited Edition,80,32,Casablanca Valley,,,Pinot Noir,Cono Sur
12,US,"This wine has some good blackberry and oak flavors. But the strong, green hit of vegetable is distracting.",Signature Selection,80,22,California,Paso Robles,Central Coast,Petite Sirah,Bianchi
13,Argentina,"Oily, match-stick aromas are none too friendly, and not a lot improves as this unfolds. The palate is adequate in feel, but the flavors are bitter and oily, while the finish is nothing but bitter.",Phebus,80,12,Mendoza Province,Mendoza,,Torrontés,Fabre Montmayou
14,US,"This is Langetwins's first vintage of Malbec from estate vineyards and it leaves a bit to be desired. Flat and a tad watery, it's a one-dimensional quaff.",Estate grown,80,15,California,Lodi,Central Valley,Malbec,LangeTwins
15,Spain,"Of all the Cavas made by Freixenet, this oddly sweet Spumante is the weakest. This is briny, pickled and candied on the nose, with hints of lychee and banana. Flavors of Sprite, cane sugar and banana finish with sulfur, honeydew and a faux kiwi note.",Spumante,80,9,Catalonia,Cava,,Sparkling Blend,Freixenet
16,US,"Feels harsh and bitter in the mouth, with simple, sweet flavors of raisins, white sugar and alcohol.",,80,25,California,Paso Robles,Central Coast,Syrah,San Simeon
17,US,"A chilly vintage took its toll on this Maddalena, robbing the wine of ripeness and resulting in a green, slightly vegetal wine.",,80,16,California,Monterey,Central Coast,Pinot Grigio,Maddalena
18,Italy,"Elegance, complexity and structure come together in this drop-dead gorgeous winethat ranks among Italy's greatest whites. It opens with sublime yellow spring flower, aromatic herb and orchard fruit scents. The creamy, delicious palate seamlessly combines juicy white peach, ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish.",Ronco della Chiesa,95,80,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
19,US,"From 18-year-old vines, this supple well-balanced effort blends flavors of mocha, cherry, vanilla and breakfast tea. Superbly integrated and delicious even at this early stage, this wine seems destined for a long and savory cellar life. Drink now through 2028.",Estate Vineyard Wadensvil Block,95,48,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
20,US,"A standout even in this terrific lineup of 2015 releases from Patricia Green, the Weber opens with a burst of cola and tobacco scents and accents. It continues, subtle and detailed, with flavors of oranges, vanilla, tea and milk chocolate discreetly threaded through ripe blackberry fruit.",Weber Vineyard,95,48,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
21,France,This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.,Château Montus Prestige,95,90,Southwest France,Madiran,,Tannat,Vignobles Brumont
22,US,"With its sophisticated mix of mineral, acid and tart fruits, this seductive effort pleases from start to finish. Supple and dense, it's got strawberry, blueberry, plum and black cherry, a touch of chocolate, and that underlying streak of mineral. All these elements are in good proportion and finish with an appealing silky texture. It's delicious already, but give it another decade for full enjoyment. Drink now through 2028.",Grace Vineyard,95,185,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Serene
23,US,"First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.",Sigrid,95,90,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Bergström
24,US,"This blockbuster, powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass. On the palate, it's smooth and seductively silky, offering complex cedar, peppercorn and peppery oak seasonings amidst its dense richness. It finishes with finesse and spice.",Rainin Vineyard,95,325,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall
25,Spain,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.",6 Años Reserva Premium,95,80,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
26,France,"Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.",Le Pigeonnier,95,290,Southwest France,Cahors,,Malbec,Château Lagrézette
27,US,"This fresh and lively medium-bodied wine is beautifully crafted, with cherry blossom aromas and tangy acidity. Layered and seductive, it offers a crisp mix of orange peel, cherry, pomegranate and baking spice flavors that are ready for the table or the cellar.",Gap's Crown Vineyard,95,75,California,Sonoma Coast,Sonoma,Pinot Noir,Gary Farrell
28,Spain,"An unclean nose smells cheesy. This is flabby and flat, with no acidity. Thus the flavors are sugary and soft, with no spunk. Overall, this struggles to keep up with what's on the market.",,80,7,Levante,Valencia,,Shiraz-Tempranillo,Torre Oria
29,US,"Pale salmon color and slightly bricked, this wine displays aromas of geranium, dried herbs and strawberry. It drinks off dry, with lightly spritzy herb flavors.",,80,16,Idaho,,,Rosé,3 Horse Ranch Vineyards
30,Spain,"Strange yeasty unfocused aromas are unclean. This is flat and spineless, with yeasty papaya flavors. A diluted, leesy finish confirms that it's not ready for prime time.",,80,8,Northern Spain,Cariñena,,Chardonnay,Hawthorne Ridge
31,Argentina,"Cidery, citric and jumbled on the nose and palate, this is barely cutting it. Briny, limited flavors of mealy citrus fruits finish flat.",1300,80,16,Mendoza Province,Valle de Uco,,Chardonnay,Andeluna
32,Spain,"This is a heartbeat or two from being DOA. Tan in color with an oily heavy mouthfeel, this tastes oxidized and shows almost no pulse.",Halcon,80,13,Northern Spain,Vino de la Tierra de Castilla y León,,Verdejo,Vega de Tera
33,Argentina,"Herbaceous red-fruit and forced fiery oak aromas give this a spicy, almost Pinot Noir-like nose. Raw as nails on the palate, this tastes like herbal green strawberry and chemicals. Weedy on the finish.",,80,10,Mendoza Province,Mendoza,,Malbec,Mountain Door
34,Spain,"Smells like mealy fruit and bananas, while the palate is weak in constitution and a bit spritzy in feel. Tastes like bland white fruits with vanilla. Cloying on the finish.",Dama de Toro,80,11,Northern Spain,Toro,,Malvasia,Bodegas Fariña
35,Spain,"There's a reason Airén is used as a base grape for brandy and Sherry wines, and it's because it's not up to table-wine quality, even at the value price point. This wine is corny and lacks freshness. It's dull, wayward and offers little to no structure. Barely drinkable.",Airén,80,9,Central Spain,Vino de la Tierra de Castilla,,Airen,Sierra Virgen
36,Spain,Smells like fruit juice. Overall it's raisiny and pruney. Drinkable but barely. Doesn't bring clarity or proper balance.,Organic,80,16,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Ardales
37,US,"Smells disturbingly funky or bretty, and seems shut down. Barely acceptable.",Stone's Throw Reserve,80,18,California,Paso Robles,Central Coast,Petite Sirah,Castoro Cellars
38,US,"This has fierce acidity, and is sweet in cherry jam flavors, with some unripe, green notes.",Stolpman Vineyard,80,24,California,Santa Ynez Valley,Central Coast,Sangiovese,Santa Barbara Winery
39,US,This smells and tastes rather vegetal; it lacks richness and comes across a bit sweet.,Primary,80,40,California,Sonoma Valley,Sonoma,Red Blend,Arrowhead Mountain
40,Spain,"This starts with aromas of cinnamon, hard candy and weedy red fruits. It feels sugary and broken, with candied strawberry flavors in front of a sweet, confected finish.",Circles Syrah & Garnacha,80,10,Northern Spain,Cariñena,,Syrah-Grenache,Bodegas Virgen del Águila
41,US,"This has aromas of prunes and burnt rubber, but it tastes better than that. It's a pretty raw effort.",Top Chef,80,18,California,Napa Valley,Napa,Merlot,Quickfire
42,Spain,"Murky and stewy smelling, with no vitality and overt green accents. It's a bit heavy in feel, with salsa-like flavors of tomato, tomatillo, chili pepper and herbs.",Duque de Medina Reserva Old Vine,80,14,Northern Spain,Cariñena,,Garnacha,Ignacio Marín
43,Spain,"This smells like compost. It feels hard and clacky, with sharp acidity and weedy, minty flavors that finish rough and green.",Manon,80,8,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Mano A Mano
44,Argentina,"Thin and sharp as broken glass, with an herbal, sour flavor profile and a tart, sheering mouthfeel and finish. Compared to previous vintages when this wine impressed, this is a loser. Barely drinkable, it's so lean and sour.",Casa,80,15,Mendoza Province,Mendoza,,Malbec,Familia Marguery
45,Argentina,"Weird, green, spicy and odd smelling, with hard, green raisiny flavors and an herbal finish. Barely acceptable; not varietally sound or interesting.",Martin Fierro,80,10,Other,Tulum Valley,,Cabernet Sauvignon,Bodegas Borbore
46,Argentina,"A scratchy, sheering wine that pushes up against sour. The palate is almost all acid, and the flavors are underdeveloped, very tart and razor sharp. Clean but hard to deal with.",Reserve,80,23,Mendoza Province,Mendoza,,Malbec,Zorzal
47,Argentina,"Rubbery and gassy smelling, with overtones of green, herbaceous fruit. The palate is sharp and grating, with pie cherry, sour raspberry and green olive flavors. Turns herbal to excess and finishes substandard.",Artist's Collection,80,10,Other,Cafayate,,Malbec,Salvatore Principe
48,US,"Barely acceptable. Dry, harsh and vegetal.",Discovery,80,11,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Q
49,Chile,"Fluffy, sweet aromas of peach, pear and vanilla are as good as it gets. Tastes of powdered sugar and the most forced oak you can imagine. Not at all surprising that it's resiny on the finish.",Reserve,80,15,Maule Valley,,,Chardonnay,Cuevas del Sur
50,Portugal,Aromas of strawberry sherbet are followed by sweet candy-shop flavors on the palate. Chill it thoroughly before drinking. Screwcap.,Estreia,80,8,Vinho Verde,,,Rosé,Viniverde
51,Chile,"Oddly tropical and floral, like an Argentine Torrontés. Spritzy in the mouth but weird tasting and funky, with cloying, unusual flavors that frankly don't taste very good.",Natura,80,11,Rapel Valley,,,Gewürztraminer,Emiliana
52,Spain,"Roasted, herbal and blunt, with an acrid stemminess. The palate lacks ripeness and elegance as it delivers burnt, leafy, herbal flavors. Underwhelming.",,80,13,Northern Spain,Toro,,Tinta de Toro,Vega Murillo
53,Argentina,"Oxidized aromas are not inviting. After the doughy, yeasty opening, the palate deals oxidized flavors of bitter and sweet red plum. Bitter on the finish; barely worth a look.",Rosé,80,17,Mendoza Province,Mendoza,,Malbec,Hom
54,Argentina,"Cloudy to the eye, with strained aromas of sauerkraut and barnyard animal. Feels heavy and tastes rustic, with burnt, stalky, anonymous flavors. Shows bitterness and stalky flavors on the finish.",Premium Rosé of Malbec,80,16,Mendoza Province,Luján de Cuyo,,Rosé,Piattelli
